"","Hazard","T1_V1","T1_V2","T1_V3","T1_V4","T1_V5","T1_V6","T1_V9","T1_V10","T1_V11","T1_V13","T1_V14","T1_V16","T1_V17","T2_V1","T2_V2","T2_V3","T2_V4","T2_V5","T2_V6","T2_V7","T2_V9","T2_V10","T2_V11","T2_V12","T2_V13","T2_V14","T2_V15"
"1",1,15,3,2,"N","B","N","D",7,"B",15,1,"B","N",36,11,"N",10,"B",2,37,11,6,"Y","N","E",2,2
"3",1,10,10,5,"N","K","N","E",12,"H",15,1,"R","Y",71,21,"Y",13,"C",6,37,14,6,"Y","Y","E",6,1
"5",1,13,19,5,"N","H","N","E",7,"H",10,1,"J","N",75,10,"Y",11,"B",1,22,2,7,"N","N","E",1,1
"6",1,14,12,2,"N","K","N","E",12,"H",15,1,"K","N",65,10,"N",14,"A",1,37,5,7,"N","N","A",1,9
"7",5,8,17,1,"E","K","N","E",8,"H",20,1,"K","N",100,14,"N",16,"A",2,25,20,3,"Y","N","D",2,11
"8",1,14,20,4,"E","K","N","E",3,"I",15,1,"R","N",83,13,"Y",5,"A",2,40,18,7,"Y","N","E",3,2
"9",1,8,2,2,"W","C","N","D",8,"B",5,1,"D","N",20,12,"Y",4,"B",1,34,13,5,"N","N","A",2,1
"10",1,5,4,3,"B","I","N","F",8,"H",20,3,"K","Y",88,7,"N",14,"A",4,40,6,3,"Y","Y","E",4,1
"11",7,4,7,5,"N","C","Y","D",7,"B",10,2,"C","N",86,7,"N",10,"A",2,34,20,4,"Y","N","C",3,5
"14",4,14,18,6,"N","K","N","E",7,"J",15,1,"N","N",92,10,"N",16,"A",2,40,7,7,"Y","N","D",2,11
"15",14,11,23,2,"N","K","N","E",3,"H",20,1,"K","N",41,11,"N",15,"A",1,40,18,3,"Y","N","E",1,1
"16",1,9,20,5,"N","C","Y","D",7,"B",10,1,"E","N",33,10,"Y",3,"A",2,31,7,1,"Y","N","E",2,1
"17",1,3,7,5,"H","C","Y","D",7,"B",10,1,"B","N",81,14,"N",19,"A",1,22,3,1,"Y","N","C",1,5
"18",1,4,6,4,"N","K","N","E",2,"J",10,2,"R","N",81,8,"N",9,"A",2,40,4,4,"N","N","D",4,4
"19",4,3,13,4,"C","H","Y","D",3,"E",10,2,"B","N",75,13,"Y",3,"A",2,40,19,3,"Y","N","E",2,2
"22",4,15,19,2,"B","C","N","B",8,"B",10,1,"B","N",61,18,"Y",18,"A",2,31,20,5,"Y","N","E",2,11
"23",8,12,12,5,"B","I","N","E",12,"J",15,1,"K","Y",38,15,"N",13,"A",2,37,2,6,"Y","Y","E",4,4
"24",16,9,5,2,"N","K","N","E",8,"M",15,3,"K","N",18,14,"N",13,"A",2,25,21,6,"Y","N","E",2,2
"25",5,14,17,5,"N","K","Y","E",3,"H",10,1,"R","Y",92,12,"N",7,"A",2,40,12,2,"Y","Y","E",2,3
"26",1,6,15,2,"B","I","Y","E",8,"J",10,3,"K","N",23,7,"Y",12,"A",1,34,18,7,"Y","N","E",1,6
"27",6,9,21,2,"B","I","Y","E",8,"H",10,3,"R","N",32,15,"N",10,"A",3,40,21,1,"N","N","C",3,6
"28",7,19,11,3,"N","H","N","D",2,"B",15,1,"F","N",36,12,"Y",12,"C",3,25,1,7,"Y","N","D",3,1
"29",1,14,1,1,"E","C","N","D",12,"B",10,3,"I","N",72,13,"N",6,"B",1,34,14,6,"N","N","A",2,1
"31",1,4,7,5,"B","I","N","E",7,"H",10,2,"R","Y",60,9,"N",5,"A",2,37,9,4,"Y","Y","E",2,2
"32",7,19,6,4,"C","C","N","D",8,"B",10,3,"E","N",52,17,"N",9,"C",2,37,19,3,"Y","N","D",3,1
"33",5,12,12,2,"W","I","Y","E",8,"H",10,1,"K","N",45,18,"N",11,"A",2,28,7,6,"Y","N","E",3,5
"35",6,3,8,6,"B","H","N","E",8,"H",10,2,"K","N",7,8,"Y",3,"B",2,40,6,3,"Y","N","C",2,1
"36",4,7,15,2,"B","A","Y","D",3,"B",10,2,"B","N",100,8,"N",14,"A",1,34,1,5,"Y","N","E",1,5
"39",8,4,1,1,"N","K","N","E",12,"J",10,1,"K","Y",86,6,"N",7,"C",2,22,2,3,"Y","Y","E",2,1
"40",1,14,6,4,"N","C","N","D",12,"B",20,1,"I","N",81,12,"N",9,"A",2,31,3,4,"Y","N","D",4,5
"41",1,1,9,1,"C","A","Y","B",2,"B",20,3,"I","N",39,17,"N",19,"A",2,31,21,3,"Y","N","D",2,1
"43",7,16,18,6,"H","K","Y","E",7,"J",15,3,"K","N",61,8,"N",5,"A",2,40,9,7,"Y","N","E",5,3
"44",5,4,18,2,"N","A","N","D",12,"B",15,1,"H","N",72,7,"N",16,"A",2,31,13,4,"Y","N","E",2,4
"45",1,9,10,2,"N","C","Y","D",8,"L",20,3,"I","N",49,19,"N",22,"C",1,40,16,3,"Y","N","E",1,1
"48",4,12,20,1,"N","C","N","D",8,"L",10,1,"I","Y",62,24,"Y",13,"B",6,40,5,3,"Y","Y","E",6,1
"49",1,2,19,4,"C","A","N","D",12,"A",20,2,"A","N",62,21,"N",7,"A",2,37,25,5,"Y","N","E",2,1
"50",1,2,16,3,"S","H","N","E",8,"H",15,3,"R","N",54,15,"N",13,"B",2,22,24,1,"Y","N","E",2,1
"51",6,9,20,9,"B","H","Y","F",8,"H",10,1,"Q","N",66,13,"N",7,"B",2,31,8,4,"Y","N","E",2,1
"52",8,19,5,2,"B","B","N","D",12,"B",10,1,"B","Y",52,11,"N",5,"A",2,40,2,6,"N","N","A",2,3
